Run#,Cromwell Result,Status,Name,Tag,User,Site,Submitted,Updated
"141768","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-06dtnd51.1_filtered.fastq.gz","mkellom","dori","10/23 09:46","10/23 09:50"
"141767","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-05k6cz78.1_filtered.fastq.gz","mkellom","dori","10/23 09:46","10/23 09:50"
"141766","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-04hz6p33.1_filtered.fastq.gz","mkellom","dori","10/23 09:46","10/23 09:50"
"141765","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-03s93812.1_filtered.fastq.gz","mkellom","dori","10/23 09:46","10/23 09:50"
"141764","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-0195pd30.1_filtered.fastq.gz","mkellom","dori","10/23 09:46","10/23 09:49"
"141763","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-05k6cz78.1_filtered.fastq.gz","mkellom","dori","10/23 09:41","10/23 09:45"
"141762","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-04hz6p33.1_filtered.fastq.gz","mkellom","dori","10/23 09:41","10/23 09:45"
"141761","failed","done","singlem_pipeline_euk","nmdc_wfrqc-11-03s93812.1_filtered.fastq.gz","mkellom","dori","10/23 09:41","10/23 09:45"
"141760","succeeded","done","singlem_pipeline_euk","nmdc_wfrqc-11-0195pd30.1_filtered.fastq.gz","mkellom","dori","10/23 09:41","10/23 09:45"
"141759","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141758","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141757","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141756","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141755","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141754","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141753","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141752","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141751","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141750","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141749","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141748","n/a","ready","","","bjcole","perlmutter","10/23 09:25","10/23 09:30"
"141747","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141746","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141745","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141744","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141743","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141742","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141741","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141740","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141739","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141738","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141737","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141736","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141735","n/a","ready","","","bjcole","perlmutter","10/23 09:24","10/23 09:30"
"141734","n/a","ready","","","bjcole","perlmutter","10/23 09:23","10/23 09:30"
